,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1994-04,2.672,4.001,2.14,8.813,3.025,11.838,NKE
1994-05,2.626,4.044,2.3,8.97,3.006,11.976,NKE
1994-06,2.617,4.078,1.943,8.638,3.008,11.646,NKE
1994-07,2.643,4.071,1.986,8.7,3.017,11.717,NKE
1994-08,2.762,4.109,1.394,8.265,3.015,11.28,NKE
1994-09,2.681,4.129,1.19,8.0,3.007,11.008,NKE
1994-10,2.809,4.112,1.01,7.931,2.969,10.899,NKE
1994-11,2.919,4.051,1.726,8.696,2.962,11.658,NKE
1994-12,2.929,4.003,2.327,9.259,2.951,12.21,NKE
1995-01,2.928,4.023,2.962,9.913,2.95,12.863,NKE
1995-02,2.832,4.071,2.497,9.4,2.944,12.344,NKE
1995-03,2.827,4.081,1.547,8.455,2.932,11.387,NKE
1995-04,2.776,4.104,1.262,8.142,2.937,11.079,NKE
1995-05,2.702,4.178,0.989,7.869,2.936,10.805,NKE
1995-06,2.686,4.226,1.776,8.688,2.914,11.602,NKE
1995-07,2.756,4.282,1.806,8.844,2.882,11.726,NKE
1995-08,2.807,4.297,1.816,8.92,2.86,11.78,NKE
1995-09,2.825,4.353,2.024,9.202,2.844,12.046,NKE
1995-10,2.844,4.363,2.036,9.243,2.853,12.097,NKE
1995-11,2.901,4.374,1.718,8.993,2.828,11.82,NKE
1995-12,2.893,4.392,1.894,9.179,2.812,11.991,NKE
1996-01,2.734,4.394,1.75,8.878,2.817,11.694,NKE
1996-02,2.914,4.442,2.13,9.486,2.801,12.287,NKE
1996-03,2.926,4.402,2.758,10.086,2.806,12.892,NKE
1996-04,3.012,4.4,2.986,10.398,2.8,13.198,NKE
1996-05,3.015,4.41,3.411,10.836,2.79,13.626,NKE
1996-06,3.017,4.409,2.094,9.52,2.77,12.289,NKE
1996-07,3.108,4.32,2.203,9.631,2.775,12.406,NKE
1996-08,3.078,4.328,1.824,9.23,2.759,11.989,NKE
1996-09,3.108,4.323,1.794,9.225,2.758,11.983,NKE
1996-10,3.092,4.334,1.94,9.366,2.747,12.113,NKE
1996-11,3.104,4.356,2.67,10.13,2.756,12.886,NKE
1996-12,3.096,4.314,2.658,10.068,2.75,12.818,NKE
1997-01,3.048,4.34,2.759,10.147,2.717,12.865,NKE
1997-02,3.091,4.363,2.284,9.738,2.705,12.442,NKE
1997-03,3.138,4.343,2.408,9.889,2.672,12.561,NKE
1997-04,3.086,4.266,2.96,10.312,2.639,12.952,NKE
1997-05,3.14,4.354,2.686,10.18,2.607,12.788,NKE
1997-06,3.127,4.401,2.315,9.843,2.6,12.443,NKE
1997-07,3.097,4.455,1.504,9.056,2.583,11.639,NKE
1997-08,3.149,4.427,2.079,9.655,2.572,12.227,NKE
1997-09,3.222,4.429,2.267,9.918,2.555,12.474,NKE
1997-10,3.246,4.408,2.698,10.352,2.54,12.891,NKE
1997-11,3.233,4.358,2.042,9.633,2.51,12.144,NKE
1997-12,3.26,4.379,2.987,10.626,2.491,13.118,NKE
1998-01,3.143,4.374,2.505,10.022,2.473,12.495,NKE
1998-02,3.314,4.426,2.443,10.183,2.455,12.639,NKE
1998-03,3.33,4.503,1.281,9.114,2.444,11.558,NKE
1998-04,3.3,4.532,1.496,9.328,2.443,11.77,NKE
1998-05,3.37,4.512,1.455,9.337,2.457,11.794,NKE
1998-06,3.395,4.489,1.372,9.256,2.453,11.708,NKE
1998-07,3.356,4.547,1.646,9.549,2.449,11.999,NKE
1998-08,3.358,4.538,1.804,9.7,2.442,12.143,NKE
1998-09,3.347,4.626,1.58,9.553,2.431,11.984,NKE
1998-10,3.084,4.633,1.554,9.271,2.43,11.701,NKE
1998-11,3.258,4.97,2.149,10.377,2.435,12.812,NKE
1998-12,3.302,5.052,2.22,10.574,2.441,13.015,NKE
1999-01,3.607,5.129,2.398,11.134,2.448,13.581,NKE
1999-02,3.8,5.142,2.824,11.766,2.446,14.212,NKE
1999-03,3.736,5.194,2.777,11.707,2.459,14.166,NKE
1999-04,3.714,5.236,2.482,11.432,2.504,13.936,NKE
1999-05,3.697,5.245,1.568,10.51,2.495,13.005,NKE
1999-06,3.841,5.221,1.474,10.536,2.491,13.027,NKE
1999-07,3.807,5.21,2.081,11.098,2.51,13.608,NKE
1999-08,3.873,5.246,2.66,11.779,2.525,14.303,NKE
1999-09,3.912,5.249,4.089,13.25,2.558,15.808,NKE
1999-10,3.948,5.25,3.711,12.909,2.559,15.468,NKE
1999-11,3.963,5.365,4.343,13.671,2.57,16.241,NKE
1999-12,4.106,5.426,3.265,12.797,2.581,15.378,NKE
2000-01,4.141,5.422,2.851,12.414,2.591,15.005,NKE
2000-02,4.074,5.43,3.956,13.46,2.633,16.093,NKE
2000-03,3.851,5.454,5.459,14.764,2.678,17.442,NKE
2000-04,3.912,5.381,6.356,15.649,2.631,18.28,NKE
2000-05,4.053,5.257,4.275,13.585,2.644,16.229,NKE
2000-06,3.857,5.273,4.099,13.229,2.687,15.916,NKE
2000-07,3.944,5.178,3.847,12.969,2.684,15.654,NKE
2000-08,3.878,5.165,4.893,13.936,2.667,16.603,NKE
